categoria,pergunta,resposta
auto-insurance,Why Is My Car Insurance Claim Being Investigated?,"Hard to answer such a question without any details. But in general, I wouldn't worry too much about it. Fraud is so out of control, that they have to investigate certain claims. During the claims process, companies have their set of ""red flags"" that triggers further investigation. As long as you have nothing to hide, you shouldn't worry about it too much. They may ask for things such as: -bank statements -proof of residency -receipt from last oil change -etc., etc., etc. Sometimes innocent minor things can trigger a red flag, and it ends up being no big deal. Other times, fraud is suspected. And sometimes, a high dollar amount of loss can trigger an investigation simply for due diligence. So don't sweat it. If you have nothing to hide, give them what they want and you should be fine."
health-insurance,How To Get Health Insurance When Pregnant?,You may be able to get coverage through Medicaid. There are no open enrollment period restrictions for this program. However there are needs based criteria which are often extended for pregnant women. Each state has very different rules for who qualifies. Contact the Medicaid office in your county to see if you qualify.
health-insurance,How To Get Health Insurance When Pregnant?,"Under the new Affordable Care Act, you can not be declined for health insurance for any medical-related conditions. Each policy is required to cover 10 essential health benefits - one of these essential benefits is maternity care. You can apply for a health insurance plan during the annual enrollment period - you can only secure coverage outside of this window if you qualify for a special enrollment period. Giving birth to a baby would be a qualifying event. I always recommend consulting with an experienced broker to help you determine which carrier and which health plan will best serve your needs and your budget. Please let me know if I can be of further assistance. Thanks very much."
disability-insurance,Can A Corporation Pay For Disability Insurance?,"The business can pay for short or long term disability insurance in a employer sponsored group plan. But some corporations don't carry long term disability in their group plans, so they offer long term disability to their key executives as an extra retention benefit. They may be able to deduct the premiums, however if they do the benefits may be taxable."
home-insurance,Will Homeowners Insurance Cover A Tree Falling On My Car?,"Your homeowners insurance would not cover this sort of incident, but your auto insurance may if you have comprehense insurance coverage less your deductible. Read your policy completely to understand the coverage provided and any exclusions that may be contained within or contact your local agent to have them go overth policywith you."
health-insurance,Where To Start Looking For Health Insurance?,"The best place to find health insurance is from an experienced broker. Because of the complexities of the new Affordable Care Act (ACA), it's important to maximize subsidies, apply for the best plan with the available funds you have, understand Metal plans and enroll in a timely manner. LIVE answer is provided by: Ed Harris - Premier national health insurance broker for more than 33 years and owner of several top-rated healthcare websites that provide the lowest available prices."
health-insurance,Where To Start Looking For Health Insurance?,"The best place to start looking for health insurance is the internet. With free rate quotes available it's a good place to begin so that you have an idea what insurance will cost for your situation. However, you should work with a trust-worthy insurance agent to help you navigate all the options and sort through the plans. Make sure the agent represents multiple carriers so she can find you the best benefits at the lowest rate you qualify for."
health-insurance,Where To Start Looking For Health Insurance?,"You're generally getting your health insurance coverage from one of two places, the individual market or your spouse's group coverage, if available.Individual health plans can be purchased on or off the health insurance exchanges. If you qualify for a subsidy, you would want to look at health insurance ON the exchanges - subsidies can only be used for on-exchange policies. The first open enrollment period under the new Affordable Care Act ended on March 31, 2014 (some states allowed for extension to mid-April due to technical issues with enrolling through the healthcare.gov website). If you're looking for an individual policy, you will need a special enrollment period (a qualifying ""life-changing event"") to purchase a plan outside the open enrollment period, otherwise you may be subject to paying a penalty. The penalty in 2014 is the greater of: 1) 1% of your yearly household income featuring a maximum penalty as the national average yearly premium for a bronze plan. 2) $95 per person for the year (If under age 18, then $47.50) featuring a maximum penalty per family of $285 under this method. The penalty figures will change in future years."
medicare-insurance,What Is Medigap Blue?,"Vermont BlueCross BlueShield has a health insurance product call Medigap Blue. It provides Medicare Supplement coverage to Original Medicare Part A and Part B. They offer Medigap Plans A, C, D, F and N with all the standardized benefits as with other insurance companies. Their premium rates are grouped into under 65 disabled and over 65. Please let me know if I can offer further assistance."
disability-insurance,Is Workers Comp The Same As Disability Insurance?,"No, workers compensation is not the same as disability insurance. Workers compensation insurance is insurance purchased by an employer to cover employees who become injured on the job and as result can no longer work. It provides income benefits to the covered employee while they are out of work. Disability insurance covers an individual regardless of the time place and manner of the event that prevents them from working (i.e. it does not have to happen at work). Disability insurance is also generally set up to cover a larger amount of lost income."
disability-insurance,Is Disability Insurance Necessary?,"Disability Insurance replaces up to 80% of your income at a time when you cannot work. For most people, receiving their income is a necessary factor to live a normal life without tremendous upheaval. Granted, becoming disabled itself can carry emotional, social and physical trauma. But to take away income complicates things at a time when further disruption is not needed. Social Security Disability Insurance does exist, but it takes longer to get, does not replaces as much income as an individual policy, and requires that you cannot work at any job."
life-insurance,How Much Optional Life Insurance Do I Need?,"You might want to consider purchasing a private policy instead of the optional life insurance offered by your employer. You may be getting the first $50,000 of life insurance at work for free, and the first $50,000 is usually a nontaxable benefit. But the amount beyond that, which is called ""optional"" life insurance, does not generally involve those perks. While the price may seem good, most life insurance policies offered through work do not stay that same price, and many end when you leave that job. If you are older or have developed a health condition when your employment ends, you may find that the prices are far higher than you could have locked in through a private policy while you were working."
life-insurance,How Much Optional Life Insurance Do I Need?,"Are you married? Do you have kids? Are they through college yet? Do you have a mortgage? Do you have other debts? When do you plan to retire? What savings do you have for retirement? Does your spouse work? This is just the beginning of a quality interview with an experienced Life Insurance Agent. You should have anywhere from three to ten or even twenty times your annual income, depending on the above factors and all your other needs. Most folks go with only three times their income, which is far from enough. You should be meeting with an agent who knows the right questions to ask you. Gary Lane, Registered Representative and Agent, New York Life, 949 797 2424. Thank you."
life-insurance,How Much Optional Life Insurance Do I Need?,"Before we can really answer this question I would need to know how much life insurance you have in force. The best answer I can give here now is determine how much you need, then take into account what you have in force now, then make up the difference with an additional policy or if the option is available, increase your current in force policy."
health-insurance,What Is A Health Insurance Claim Form 1500?,"A health insurance 1500 claim form is a standard claim form issued by the Center for Medicaid and Medicare Services that used by a non-institutional providers and suppliers to bill Medicare insurance companies and durable medical equipment regional carriers, as well as some Medicaid State Agencies.This form is usedwhen a provider qualifies for a waiver from the Administrative Simplification Compliance Act requirement for electronic submission of claims."
renters-insurance,Can You Borrow Money From Renters Insurance?,No Renters Insurance does not have cash value. Renters Insurance is designed to replace your personal property in the event of a covered loss subject to a deductible. There is no savings feature that would provide for any type of loan. The policy will provide cash for additional living expenses if you must leave your apartment due to a covered loss.
renters-insurance,Can You Borrow Money From Renters Insurance?,"Because of the short duration of the policy there arent any reserves in a renter's policy. You cannot borrow from a renter's policy. The only type of insurance that does develop cash value, and thereby the ability to borrow money, is a permanent life insurance plan. Discuss this with a professional life insurance agent."
home-insurance,Where To Get Home Insurance Quote?,"That is a great question! Many people will turn to the internet for quotes, but I don't recommend it. The quotes are very often generic, and will often change considerably when all the appropriate information is given. Do a couple of things, and then contact an agent (or agents) and ask fir quotes. Check with friends and family, and ask about their insurance - the customer service, cost, and how happy they are with their coverage. Then catalogue your belongings, serial numbers, replacement costs, etc. so that you have an idea of what you will need for coverage. That should give you a little better accuracy with your quote. Good luck, and thanks for asking!"
home-insurance,Where To Get Home Insurance Quote?,"A trusted insurance agent is a valuable person to know. If you dont have an agent, get recommendations from your friends, colleagues and neighbors. A trusted agent will listen to you, provide sound financial advice, and communicate clearly with both you and the insurance company. Setting the limits of the policy is the most important step and this is where an agent can be of great assistance. If a claim isnt fully covered because limits were too low, you will be unhappy."
home-insurance,Where To Get Home Insurance Quote?,"The best place to start is with your Insurance Professional. If you don't have homeowners currently and this is a new purchase, ask about discounts that would be available for insuring your home with the same company that insures your cars. Your Realtor or Attorney would also be a great referral resource if you currently have no insurance or are moving to a new area."
life-insurance,Why Buy Variable Life Insurance?,"That is a great question! Of the three types of life insurance, term, whole life, and universal (or variable) variable is the most complicated. The things that make it different also make it riskier. This is not the policy for you, if you do not like risk, or do not want to have to keep track of its performance. This policy is called ""variable"" because your payments can vary. This can be a problem, if you send in a steady payment amount, and the policy expenses are more than the payment you are sending. Your policy will eventually eat itself alive, and collapse. If you are someone who likes risk, and will pay close attention to your policy's performance, the policy can be a valuable part of your financial plan. This type of policy can ( I repeat Can) generate large cash values, if the needed variables all fall into place. Talk to your agent or advisor, and see if this policy is what works best for you. Thanks for asking!"
retirement-plans,How Long To Plan For Retirement?,"Retirement planning should begin now. It is never too soon. Retirees rarely think that they have too much money. Because many retirement programs offer tax free compounding of earnings, the results of an early start are truly amazing. Determine what the maximum amount you can legally contribute to an IRA, pension plan or whatever program available to you. Try to put aside as much or that maximum amount every month. Stick with your plan."
retirement-plans,How Long To Plan For Retirement?,"Planning for retirement requires paying yourself first with disciplined deposits into a retirement account from every paycheck from the first day of employment. If your employer sponsors a defined contribution plan and matches a portion of your contribution, do it! If there is no retirement plan at work, consider an IRA or Roth IRA. You should face the fact that you may be working until age 70 because of the new mortality trends in life expectancy and living to at least age 90."
auto-insurance,Who Is The Least Expensive Auto Insurance?,"The least expensive auto insurance company? Actually, there are about a dozen answers. Depending on the state where you live, it could be State Farm, Progressive, Esurance, Farmers, Geico, Allstate, Erie, Liberty Mutual or one of many other companies. Rates are based on many factors and in any given area, it could be one of many options. An experienced broker and their website is a great resource to shop, compare, and find the best car insurance rates in the US!"
medicare-insurance,What Is Centers For Medicare And Medicaid?,The Centers for Medicare & Medicaid Services (also known as CMS) is a US Department of Health & Human Service agency. They are responsible for running several federal health care programs with Medicare and Medicaid being the 2 main programs. Medicare is a federal health insurance program that you are eligible for at age 65 or if you qualify from a disability. Medicaid is a federal and state run program. It provides health care services for certain individuals who qualify based on their income .
renters-insurance,How To File A Renters Insurance Claim?,"It is very easy to file a renter's insurance claim. You should call/contact the broker/agent that is servicing your policy. If you do not know who it is, then call the insurer directly. You will be asked some questions regarding the items that were damaged, stolen etc...so be prepared to provide information. If it is a liability claim, more extensive information may be needed."
life-insurance,What Do I Need To Know About Buying Life Insurance?,"Some things to know about life insurance are: 1) Life insurance prices depend on many factors. Even the amount you can get is dependent on your income and assets. It really helps to have a great agent to help you sort out the options. As someone who has sold thousands of policies over the last decade, I don't know how people wade through all this information without help. Or why they would want to. 2) It is important to look at guarantees. In this economy, my advice would be, wherever you can get a guarantee, take it. 3) You have to keep an open mind. If you go in thinking you want a certain type of policy at a certain price, you may find that you don't even qualify for that type of policy. Your beneficiaries may end up with nothing if you don't keep an open mind. 4) Life insurance pays. Life insurance companies are very secure and nearly all life insurance policies pay the death benefit. 5) If you can't afford it, you won't keep it. If you won't keep it, your life insurance won't help anyone. So buy affordable life insurance that fits your budget."
auto-insurance,What Is The Biggest Car Insurance Company In Us?,"The biggest car insurance company in the US is State Farm, followed by Allstate and Berkshire Hathaway Insurance Group. Progressive, Farmers and USAA are also very large companies. In your particular state, you may find other insurers to be more popular; such as Erie, Travelers or Geico. As experienced brokers, our job is to compare and find the lowest rates available in your area and present you with the best options for your specific vehicles."
home-insurance,Does Home Owners Insurance Cover Pool Damage?,"More than likely not. It would depend on the policy language, the cause of the pool causing the damage and the type of damage caused. This question would be best discussed with one of the claims adjusters of the company that you have the policy thru. As alway read your policy completely to know what is covered or what is excluded or call your local agent and have them explain the coverage and exclusions of the policy."
life-insurance,Why Do Smokers Pay More For Life Insurance?,"Smokers, and other forms of tobacco use, are detrimental to your health. It is not unusual for long term smokers to develop cancer of the lungs, mouth or throat. Many develop emphysema or COPD. Any of these conditions will shorten your lifespan. If the insurance carrier believes your tobacco habit will cause you to die sooner than ""normal"" they will charge a higher rate to compensate for the additional risk."
life-insurance,Why Do Smokers Pay More For Life Insurance?,"Life insurance is a mortality insurance product. It bases its underwriting offer on life expectancy and prices it accordingly. Smoking shortens life expectancy and can be a contributing cause or indirect component to our respiratory disease or conditions. Because of these facts, actuarial pricing charges more for the risk the life insurance company takes on."
retirement-plans,Can You Cash Out Your 401K?,Your 401(k) plan is established by your employer. There is a document that states what you may do with the funds in the separate accounts. The document will tell you at what point the contributions by the employer become yours. The document might provide opportunity to withdraw some of the funds for specific purposes. The plans permission to withdraw doesnt diminish your responsibility to pay tax on the money withdrawn including penalties if you are less than 50.5 years old.
retirement-plans,Can You Cash Out Your 401K?,"That is a great question! You can, but the question is do you really want to? In many cases, you will lose a substantial amount of the funds' value by doing so, either through loss of unvested contributions, penalties, or from the income tax that is assessed. Those losses can be really steep, up to a third of the value of your fund. If you need to get your hands on some fast cash, try borrowing from your life insurance, or selling something before gutting your future, ok? Please drop me a line if you need help, ok? Thanks for asking!"
health-insurance,What Is The Best Health Insurance For Small Business Owners?,"The best health insurance for small business owners will vary, depending on many factors. Finding the best rates and coverages are the first step and utilizing an experienced health insurance broker is critical. For example, my 33 years of experience in the business helps customers save thousands of dollars. The type of business you have, number of employees, where you live and claims experience are just some of the factors that will influence the cost."
health-insurance,What Is The Best Health Insurance For Small Business Owners?,"Group health insurance works very differently from individual coverage - there are many moving parts involved with putting together a group health insurance plan Group health insurance is health insurance a business owns and offers to its employees. The business generally pays for a percentage of the premiums with the employees paying the rest. It's often offered as a means of attracting people to come work from them. Group health insurance quotes are based on the size of your business, the industrys SIC code, age of employees, and average employee health (except in Maryland, which requires no medical underwriting). There are no instant online quotes for group health insurance for these reasons. To get a quote for group coverage, I recommend contacting an experienced broker. We can shop for quotes from multiple companies for you and create a benefit structure that best serves the needs and budgets of your business and your employees. Having too many ""hands in the cookie jar"" can sometimes make things confusing. Please let me know if I can be of further assistance. Thanks very much."
disability-insurance,What Basics Do I Need To Know About Disability Insurance?,"The #1 thing you need to know about disability insurance is that it is paycheck protection in times of prolonged sickness and injury. You need to select an elimination period. Most Americans have 90 days in cash reserves, so a 90 day elimination period is a consideration. When claims are filled and the elimination period satisfied, the benefits are paid tax free."
long-term-care-insurance,Is Long Term Care Insurance Worth The Expense?,"If you have family history that has reoccurring nursing home care or home care assistance, you may need long term care insurance. If you play the morbidity odds of geriatric living, youll need long term care insurance. If you generated extended care expenses that you cannot financially cover, you need long term care insurance. If you play the morbidity odds of geriatric living, youll need long term care insurance. If you generated extended care expenses that you cannot financially cover, you need long term care insurance. A male and a female age 60, nonsmoker and in good health with a full coverage and inflation rider from a quality long term care insurance company will pay around $300 a month for the max coverage."
life-insurance,What Is The Role Of A Life Insurance Underwriter?,"A life insurance underwriter assesses the medical condition of the proposed insured as well as beneficiary election and financial justification. Overall insurance justification establishes whether the amount of coverage and the beneficiaries of the application are warranted before moving forward in the underwriting process. The paramount issue is here is the economic loss suffered by beneficiaries at the death of the insured. The medical information of the proposed insured contains the attending physicians statements, the insurance exam results, prescription medications and the application answers to determine an underwriting offer. The collection of this data can be a time consuming process from 4-6 weeks."
life-insurance,What Is The Role Of A Life Insurance Underwriter?,"The role of a life insurance underwriter is to evaluate and determine the degree of risk involved in issuing life insurance policies to persons applying for life insurance at their company. This could involve simply looking at the MIB and pharmacy record (for simplified issue, nonmed policies) all the way to reviewing hundreds of pages of medical records, tax returns, and/or inspection reports for very large policies. The underwriters' role is to make sure that the insurance company they work for does not lose excessive amounts of money by charging too little, but does not lose business by charging too much. Underwriters are a very important part of a reputable and secure life insurance company."
life-insurance,What Is The Role Of A Life Insurance Underwriter?,An actuary takes years of statistics and projects life expectancies for every age. From this information a standard rate is developed. The underwriter reviews the information provided on an insurance application. The purpose of this procedure is to decide how close to standard a specific risk is. The underwriter will make a determination upon which the company will either decline a risk or make an offer to insure. In the vast majority of cases the policies are issued at standard rates but the underwriter might adjust the offer either increasing or decreasing the premium as is warranted.
health-insurance,Which Individual Health Insurance Covers Pregnancy?,"Under the affordable care act, every health insurance plan must cover the 10 essential health benefits - maternity care (including pregnancy) is one of the essential health benefits. Therefore every individual plan will provide some form of coverage for that type of benefit. How much a plan will pay when that benefit is used will vary from plan to plan. It's always helpful to consult with an experienced health insurance broker to determine which plan will be most suitable for your specific needs and budget. I hope the information is helpful - please feel free to contact me for help and if you have any other questions. Thanks very much."
home-insurance,Will A Pellet Stove Increase Homeowners Insurance?,Wood burning devices are a concern to the underwriter for a homeowners policy because they have an open flame inside the house. Insurance companies rarely change their rate based upon an increased exposure. Instead they are more likely to not accept the risk at all. A pellet stove is probably the least dangerous wood burning device. Many companies will issue a standard homeowners policy on a home with pellet stove.
auto-insurance,How Can I Reduce My Auto Insurance?,"You can reduce your auto insurance premiums in many ways. Of course, shopping through an experienced broker (or online through a respected website) may yield substantial savings. They do the shopping while you relax and do the saving! Increasing your collision and comprehensive deductibles will lower your rate. There are many options that may be very cost-effective for you. Verify that you are receiving all discounts that you are entitled to by speaking to a broker. 55 and retired, good-student and low-mileage are just a few discounts that most carriers offer. Improve your driving record and/or credit. It will help! And it may save you thousands of dollars instead of hundreds of dollars over your lifetime."
auto-insurance,How Can I Reduce My Auto Insurance?,"Everyone wants to pay less for car insurance but what you need to focus on is making sure you get the best value for your money. You can increase deductibles, lower liability coverage or reduce your policy to liability only but be careful before making any of these changes. Make sure you understand how much you would have to pay when you have an accident and then see if the savings makes sense for your situation."
long-term-care-insurance,Why Should You Buy Long Term Care Insurance?,"People usually buy long term care insurance so that they can have the money to make choices for their own care; so that they can save their resources for spouse or heirs; and/or so their relatives do not worry about what will happen to Mom, Dad, Grandma, or Grandpa if they can no longer can care for themselves."
long-term-care-insurance,Why Should You Buy Long Term Care Insurance?,"Statistics show that 70 percent of people who reach age 65 will have a need for long term care. By having long term care insurance, you can ensure that your family won't have to pull from their savings to help pay for you care should you need become unable to perform one of the activities of daily living (brushing your teeth, bathing, feeding yourself, etc.) and need to receive care (nursing home, in-home care, hospice, etc.)."
life-insurance,What Are Some Functions Of Life Insurance?,"The main function of Life Insurance is to protect your family and loved ones in case of your death. If you were to die, any debts that you owe, as well as the costs associated with your funeral, could be passed to your family and loved ones. Life Insurance may not keep some of these debts from passing to them, but it would certainlylessen the amount owed. Life Insurance can also be used as a savings and investment vehicle. Certain life insurance policies are tied to investment accounts and market indexes, which allows the policy to grow. These policies still have a face value, but they also will build a cash value. This cash value can be used as a loan from the policy, or they can simply be used to increase the amount of payout at the time of payment."
life-insurance,What Are Some Functions Of Life Insurance?,"While the payoff of debts is one of the most common purposes people buy life insurance to fulfill, two other major areas of need that this line of insurance is used to help with is income replacement (to maintain the lifestyle your family members have become accustomed to) as well as estate planning."
life-insurance,What Are Some Functions Of Life Insurance?,"Life Insurance is a financial vehicles with many different uses. Some of the more common uses (functions) of life insurance are: Death Benefit to protect a loved one College Funding vehicle Buy-Sell Agreement for business owners Executive Bonus plans to compensate key employees or business owners Vehicle to create tax-free income in retirement Income replacement Charitable Giving Mortgage Protection Final Expense These are some of the highlights, but life insurance offers a combination of features and benefits that are not available in any other financial vehicle."
life-insurance,What Are Some Functions Of Life Insurance?,"Life insurance has different kinds of functions depending upon what type of policy you have. One of the most important functions in Life insurance is to protect your family and loved ones in the event of premature death. Something that is just as important as premature death is Living Benefits that protect your family and loved ones in the event you need benefits while you are still alive! There are many needs for Life Insurance coverage but, that would be best determined by ones own needs and personal situations. Every families situation is not the same it needs to be personalized."
medicare-insurance,Does Medicare Cover Januvia?,"Medicare covers Januvia by Medicare Part D,the Medicare Prescription Drug Plan. Januvia is an oral medication that helps lower blood sugar and prevent diabetic complications in people with type 2 diabetes. It is not indicated for persons with type 1 diabetes or those with diabetic ketoacidosis. The generic name for Januvia is sitagliptin."
health-insurance,Can I Get Health Insurance If I Am Obese?,"Under the Affordable Care Act (ACA) anyone that applies for health insurance will be accepted regardless of medical conditions. Being obese is no longer an issue in purchasing health insurance. You can purchase health insurance during the annual open enrollment period that begins around November 1st for January 1, 2015 effective dates."
renters-insurance,What Does Renters Insurance Not Cover?,"A few of the exclusions under a typical renters insurance policy are: a. property covered by any scheduled insurance; b. animals, insects, birds, fish, worms and bees; c. motor vehicles including their parts and equipment; d. motorized vehicles including their parts and equipment, except those vehicles currently operational and used to service the insured premises; e. aircraft , including their tires, parts and equipment; f. property of roomers and boarders who are not insureds ; g. trees, plants, shrubs and lawns; They are covered under the Incidental Coverage of this form; and h. farm personal property. Please read your policy completely to understand the coverage provided and any exclusions that there may be."
life-insurance,Why Is Universal Life Insurance Bad?,"No product is bad it just depends on what your needs are. What you are trying to cover or accomplish, It might be bad for you, if you are looking for more guarantees. Universal life policies involve you managing the policy. If you cannot find your policy then you should not have a policy you need to manage. If you have further questions, or feel that I could be of assistance, please do not hesitate to contact me. If you would like to work with a local life insurance broker, you could start with a Google search. For example, if you search for: life insurance broker Halifax or life insurance agent Halifax, my name, along with several others, will come up. You can use the same method to find a life insurance broker in your community."
